img, model, prior_probs, predicted_probs, predicted_class, actual_class, pixel_count
4174,lenet,"[9.1511169e-03 6.5558602e-06 9.7203135e-01 1.4073251e-02 8.4933365e-04
 3.3801305e-03 3.9696239e-04 9.4536685e-05 4.7175254e-06 1.1944524e-05]","[1.0375283e-01 1.1375246e-03 3.3064240e-01 3.3500114e-01 4.5487429e-03
 2.1525243e-01 1.8320589e-03 6.6507203e-03 2.9870300e-04 8.8346767e-04]",cat,bird,1
8991,lenet,"[9.4515866e-01 6.2044836e-03 4.5055980e-04 1.8200999e-03 3.2812921e-05
 7.4068530e-06 1.4989834e-05 1.0136044e-05 1.5073575e-03 4.4793479e-02]","[5.7325542e-01 4.3404028e-02 1.1642169e-03 3.4027756e-03 6.7980131e-05
 2.7060207e-05 5.4032767e-05 3.0182115e-05 3.6587976e-03 3.7493554e-01]",airplane,airplane,1
1177,lenet,"[2.2730392e-05 6.8702810e-03 6.9838679e-05 1.5726746e-06 2.1568947e-05
 2.6468479e-06 2.2563505e-07 1.6224674e-05 4.1403902e-05 9.9295348e-01]","[7.3500564e-06 5.4082539e-02 1.7592691e-04 2.1320363e-07 1.5530603e-06
 8.0739312e-07 9.1491904e-07 1.5217903e-06 6.6105572e-06 9.4572252e-01]",truck,truck,1
7717,lenet,"[0.07367443 0.07895201 0.01540267 0.25233167 0.11709595 0.06181379
 0.03199286 0.25043556 0.00956377 0.10873726]","[0.05641373 0.70518345 0.00507951 0.03343184 0.02562291 0.00395251
 0.012935   0.0225489  0.01308414 0.12174787]",automobile,cat,1
9601,lenet,"[3.15442921e-05 8.68341088e-01 8.46878465e-05 1.82577372e-02
 9.89378623e-06 1.07239515e-01 2.85558577e-04 2.40158034e-03
 3.63759027e-04 2.98470329e-03]","[3.4016073e-05 2.5371793e-01 7.9675701e-05 1.9928275e-02 2.7744543e-06
 7.2011834e-01 2.8489623e-04 1.4474504e-03 2.7232317e-04 4.1144504e-03]",dog,automobile,1
3243,lenet,"[1.71066709e-02 4.41935292e-04 4.33770387e-04 2.95292994e-04
 6.63998188e-04 6.84680272e-05 1.85106779e-04 1.05823696e-04
 9.80423570e-01 2.75343889e-04]","[1.5577780e-01 4.4537449e-01 4.0281382e-03 1.5485296e-03 5.5105025e-03
 4.0431882e-04 1.0873919e-03 1.1108292e-03 3.4591347e-01 3.9244577e-02]",automobile,ship,1
2676,lenet,"[1.0303452e-05 7.3288866e-06 2.3167070e-02 4.5351800e-02 5.0160003e-01
 3.1271365e-03 4.2647144e-01 2.0368128e-04 4.5981114e-06 5.6692017e-05]","[3.3859567e-06 3.0389085e-06 3.6309443e-03 1.4182166e-02 7.6213069e-02
 1.7766576e-03 9.0408987e-01 6.2598258e-05 1.9082170e-06 3.6325786e-05]",frog,deer,1
1748,lenet,"[8.2067728e-01 1.4318406e-06 1.7626905e-01 9.1560144e-04 1.1619088e-03
 5.3242453e-05 1.1981746e-04 1.9968262e-05 7.7548437e-04 6.1449146e-06]","[4.8958623e-01 2.6997254e-06 5.0098997e-01 1.2373123e-03 4.0171151e-03
 2.9523711e-04 1.9062395e-04 2.1499021e-04 3.4608794e-03 4.9120922e-06]",bird,airplane,1
98,lenet,"[8.9726669e-01 2.2024980e-05 1.0197816e-01 2.4563720e-04 7.7962004e-06
 1.3363554e-05 2.5845403e-04 8.4804615e-06 4.7321781e-05 1.5207966e-04]","[6.31385565e-01 3.46188535e-05 3.67792398e-01 2.44108800e-04
 1.41534683e-05 2.27170040e-05 2.98634899e-04 2.22972994e-05
 6.63540995e-05 1.19271084e-04]",airplane,airplane,1
5739,lenet,"[4.7876392e-06 2.8675811e-06 8.2285482e-01 2.5585957e-03 3.6652642e-03
 4.2069616e-04 1.7036001e-01 1.2984739e-04 2.0915645e-06 1.1038359e-06]","[1.3464072e-05 1.2458741e-05 4.5256022e-01 7.4202418e-03 7.6446487e-03
 9.2284818e-04 5.3134465e-01 5.8531856e-05 1.7657156e-05 5.2959190e-06]",frog,bird,1
7540,lenet,"[4.9087002e-06 3.1747751e-07 7.7423878e-04 2.3711845e-03 3.6699540e-04
 9.9634391e-01 1.4329088e-05 1.0768977e-04 1.2835199e-06 1.5059580e-05]","[5.3232920e-04 4.6646652e-05 4.4925615e-02 6.1406869e-02 1.7472789e-02
 8.6730468e-01 3.5720321e-03 3.9532515e-03 4.5524386e-04 3.3052629e-04]",dog,dog,1
5043,lenet,"[9.5831877e-01 4.5162058e-04 1.4492263e-03 2.0919971e-03 2.6750745e-04
 7.4330345e-04 3.2528871e-04 2.5422673e-03 9.1996265e-04 3.2889932e-02]","[0.45527488 0.00434958 0.01954215 0.04433255 0.01201048 0.01958425
 0.00541724 0.04523452 0.00313954 0.39111477]",airplane,airplane,1
9826,lenet,"[5.6969839e-01 6.1672312e-05 3.9184701e-01 1.5200187e-02 1.3651484e-02
 7.8015705e-04 3.7055921e-03 7.1527052e-04 3.0810011e-03 1.2592130e-03]","[1.7755255e-01 7.7093937e-05 7.4891740e-01 3.7681121e-02 2.2815343e-02
 2.5520341e-03 5.7366583e-03 1.4673113e-03 2.3195080e-03 8.8100950e-04]",bird,airplane,1
2147,lenet,"[1.7938634e-02 4.0286756e-03 1.9048871e-03 1.2063612e-02 6.4493023e-04
 4.4736113e-02 5.4773211e-04 8.9685887e-01 5.7217403e-04 2.0704364e-02]","[6.1975741e-03 1.9847213e-03 7.6473360e-03 4.2102106e-02 1.2549735e-03
 5.7897717e-01 4.4204248e-04 3.4718585e-01 1.6330621e-04 1.4044886e-02]",dog,horse,1
8388,lenet,"[1.27744265e-02 6.34220421e-01 1.18487560e-05 1.34011163e-04
 2.57386455e-06 7.96666882e-06 9.19592625e-04 2.66978932e-05
 1.41920027e-04 3.51760507e-01]","[1.33214025e-02 1.74013898e-01 1.65740403e-05 2.27755212e-04
 5.22449272e-06 1.36049639e-05 9.45585198e-04 6.61196245e-05
 1.13196707e-04 8.11276674e-01]",truck,automobile,1
6107,lenet,"[5.5426390e-05 1.5936996e-03 1.6349888e-07 2.1289770e-07 1.3819474e-07
 1.2924824e-07 1.0007934e-07 1.4465975e-06 8.2957943e-04 9.9751914e-01]","[2.11562891e-03 1.51479209e-03 6.51315031e-06 1.84417950e-05
 1.59154188e-05 4.83797476e-06 5.73582656e-06 6.57944765e-05
 1.02155395e-01 8.94096971e-01]",truck,truck,1
9724,lenet,"[9.9973351e-01 1.0729245e-06 1.4759286e-04 2.2087608e-05 5.9798458e-05
 3.5261060e-06 1.1487059e-06 4.1920375e-06 2.0455049e-05 6.5882364e-06]","[9.9468696e-01 1.9517964e-05 2.7292070e-03 3.3273397e-04 9.4469119e-04
 6.7787063e-05 2.7619375e-05 1.5789671e-04 7.7922974e-04 2.5441454e-04]",airplane,airplane,1
8903,lenet,"[9.7258049e-01 2.2840684e-02 9.4527740e-04 1.0776947e-04 2.5436239e-06
 1.5274360e-06 2.6493519e-05 2.2535635e-07 2.9640000e-03 5.3093414e-04]","[4.5011312e-01 5.4485118e-01 1.1849166e-03 6.2104437e-04 1.1400888e-06
 4.9612636e-06 2.6731323e-05 8.2361474e-08 2.2635148e-03 9.3340827e-04]",automobile,airplane,1
8223,lenet,"[2.1694011e-04 2.3025959e-05 4.3805680e-06 1.0012685e-05 8.5797383e-06
 8.4764213e-07 2.2714323e-06 5.8402333e-07 9.9970156e-01 3.1811724e-05]","[8.1880726e-02 4.4692305e-01 1.3683175e-04 1.6230131e-04 9.8074750e-05
 1.0240374e-05 2.0772307e-04 1.2574631e-05 3.8260818e-01 8.7960400e-02]",automobile,ship,1
2280,lenet,"[6.0740694e-02 4.6117048e-04 7.1615160e-02 1.9976931e-02 8.2908201e-01
 3.1510310e-03 3.0485087e-03 2.0869481e-03 8.9785364e-03 8.5902825e-04]","[1.8301179e-01 1.2237139e-04 4.0176052e-01 1.1857410e-02 3.9544749e-01
 1.5292325e-03 9.6990907e-04 9.7934599e-04 4.0025925e-03 3.1920199e-04]",bird,deer,1
9874,lenet,"[5.55289611e-02 1.09296445e-04 5.13771057e-01 6.63597435e-02
 1.61460474e-01 1.45234853e-01 2.03300291e-03 5.44452220e-02
 6.80408499e-04 3.76939162e-04]","[4.4561855e-02 3.3290300e-04 1.4608394e-01 9.0768300e-02 1.7738575e-01
 3.4105232e-01 5.5394694e-03 1.9356459e-01 1.3067463e-04 5.8028533e-04]",dog,bird,1
1596,lenet,"[9.9904698e-01 3.8478356e-05 3.0093544e-04 7.6092394e-05 5.7648745e-06
 2.8931710e-04 1.4948918e-04 8.5708052e-05 6.2835130e-07 6.6517141e-06]","[9.5125985e-01 5.1263790e-04 2.4730056e-03 4.1971067e-03 1.4080484e-04
 8.5634077e-03 7.9857660e-03 2.4809120e-02 6.6763823e-06 5.1653340e-05]",airplane,airplane,1
9564,lenet,"[4.7297617e-06 3.0076713e-05 2.2668389e-07 2.6068609e-08 9.4426857e-09
 1.7541373e-08 5.4012684e-08 1.0157983e-07 1.2395704e-05 9.9995232e-01]","[6.4004969e-05 7.2967578e-03 6.2748300e-06 2.1901903e-06 1.4922011e-07
 1.4469994e-06 1.1217106e-05 3.7709726e-06 3.0093332e-04 9.9231321e-01]",truck,truck,1
915,lenet,"[1.14168714e-07 9.99992847e-01 4.05062442e-11 2.54016558e-10
 1.35396364e-11 1.97437292e-11 6.55389742e-09 1.26697364e-09
 2.35782736e-08 7.02416537e-06]","[3.3016285e-04 9.6821320e-01 1.0922396e-07 5.8527002e-07 3.6247254e-08
 1.3996949e-07 7.4339255e-07 1.6163907e-06 2.4821369e-05 3.1428587e-02]",automobile,automobile,1
83,lenet,"[9.7810768e-02 1.4122894e-04 2.8909514e-02 2.5162953e-01 3.4175079e-02
 2.4151187e-01 5.8424333e-04 3.4481621e-01 8.8272347e-05 3.3327521e-04]","[2.6448882e-01 1.8576931e-04 7.2444953e-02 3.1405896e-01 2.1076707e-02
 2.8127339e-01 5.5989780e-04 4.5651682e-02 6.1553823e-05 1.9833808e-04]",cat,horse,1
1177,lenet,"[2.2730392e-05 6.8702810e-03 6.9838679e-05 1.5726746e-06 2.1568947e-05
 2.6468479e-06 2.2563505e-07 1.6224674e-05 4.1403902e-05 9.9295348e-01]","[4.1522959e-04 4.1891359e-02 7.6929609e-05 5.8122673e-06 6.0912887e-05
 8.5307629e-06 2.5485658e-06 4.2115577e-04 4.5401268e-04 9.5666349e-01]",truck,truck,1
8541,lenet,"[4.4001624e-02 3.0362889e-01 4.0004242e-04 2.5984304e-04 4.5995817e-05
 2.2304061e-05 1.3967314e-03 1.5377378e-04 6.1995989e-01 3.0130919e-02]","[1.11392112e-02 8.46218407e-01 1.00779311e-04 6.14660676e-05
 1.89222956e-05 3.57448039e-06 2.09084203e-04 2.97218867e-05
 1.06288575e-01 3.59303057e-02]",automobile,ship,1
1127,lenet,"[4.5199830e-02 1.1189904e-03 3.9849980e-04 1.2613733e-04 2.5916747e-06
 6.3811640e-05 4.6387842e-05 1.4557186e-05 8.7938219e-01 7.3646970e-02]","[5.7399184e-01 9.9594914e-04 1.0429573e-03 1.9084784e-04 1.0172340e-04
 3.3802047e-04 7.0431313e-05 1.9748259e-04 4.0163043e-01 2.1440204e-02]",airplane,ship,1
5757,lenet,"[2.0029761e-04 9.6625698e-08 7.2615504e-02 9.8713143e-05 9.0837926e-01
 2.3987659e-03 1.2245180e-05 1.6292954e-02 1.9798106e-06 2.1240318e-07]","[4.9649496e-03 1.2785333e-05 5.1250267e-01 1.1047376e-03 4.6479425e-01
 1.1594059e-02 5.7463761e-04 4.3759714e-03 7.1350049e-05 4.6077043e-06]",bird,deer,1
8416,lenet,"[0.00194921 0.01163451 0.10160984 0.09071899 0.15226887 0.0353898
 0.50991935 0.05427654 0.00114007 0.04109282]","[1.9583867e-04 2.2806067e-03 1.7855233e-02 3.0406660e-01 8.1550516e-02
 5.2993745e-01 2.8368015e-02 3.3414081e-02 1.3817435e-04 2.1935215e-03]",dog,frog,1
5132,lenet,"[4.7932635e-04 9.9178934e-01 3.2693075e-05 3.2284686e-05 1.3376479e-07
 1.8641948e-06 2.4928857e-05 8.2842672e-07 3.1938271e-03 4.4446830e-03]","[1.1349517e-01 6.6269684e-01 1.1888702e-02 3.1232105e-03 4.6688860e-04
 5.8447465e-04 1.3263204e-02 9.3437091e-04 2.1327246e-02 1.7221992e-01]",automobile,automobile,1
8221,lenet,"[1.18765776e-04 3.62342653e-05 4.19559074e-05 8.19020133e-05
 2.14462161e-05 1.91332540e-03 1.42984936e-06 9.93622720e-01
 8.24301151e-06 4.15402977e-03]","[3.2399555e-03 5.3794305e-03 1.1846558e-03 6.5785600e-03 5.4812054e-03
 3.7938852e-02 2.0131284e-04 6.6786122e-01 3.6091942e-04 2.7177393e-01]",horse,horse,1
3598,lenet,"[7.3836149e-05 7.0073891e-10 9.9992585e-01 9.8535544e-08 1.8070837e-09
 3.0534655e-09 2.0558861e-08 8.6225164e-08 5.4148856e-08 5.2532648e-08]","[3.31282765e-02 5.20704725e-06 9.66428399e-01 2.28740144e-04
 1.57952286e-06 1.01295445e-05 1.01470694e-04 7.31034288e-06
 1.68546703e-05 7.20560201e-05]",bird,bird,1
9129,lenet,"[2.9822261e-06 1.5402914e-07 7.6399915e-02 3.2652920e-04 9.1874331e-01
 2.9856584e-03 4.5397063e-04 1.0872718e-03 3.8373514e-08 1.5248862e-07]","[2.4572597e-05 3.6255681e-06 7.0817262e-01 1.3414712e-03 2.7815449e-01
 3.5639475e-03 8.5161794e-03 2.1931206e-04 4.7075719e-07 3.2270650e-06]",bird,deer,1
1543,lenet,"[5.4640736e-04 1.5639327e-04 3.1933591e-02 2.4524681e-01 8.3462503e-03
 6.7270976e-01 1.9896867e-02 1.9703567e-02 1.3232241e-04 1.3280649e-03]","[0.01790659 0.00117181 0.05892795 0.4460832  0.02546059 0.30532953
 0.01758678 0.12211716 0.00111683 0.00429953]",cat,dog,1
9476,lenet,"[2.5297355e-04 8.1756543e-03 5.4471860e-05 3.0013314e-06 3.0206365e-08
 3.9896936e-06 6.9381153e-05 1.5390275e-05 9.9136001e-01 6.5090841e-05]","[2.1691152e-01 6.2755719e-02 1.0799402e-02 2.9467242e-03 1.4220749e-04
 4.3199421e-03 1.5928317e-02 7.1791351e-02 5.7928985e-01 3.5115018e-02]",ship,ship,1
3410,lenet,"[1.6750418e-02 3.3747000e-04 1.6506952e-01 2.7999857e-02 6.3354528e-01
 4.1570842e-02 4.5933030e-03 1.0776879e-01 1.2021705e-03 1.1623856e-03]","[0.07144764 0.00183911 0.41530418 0.04286514 0.26750004 0.0474323
 0.03532754 0.11006489 0.00325655 0.00496262]",bird,deer,1
8275,lenet,"[0.03369101 0.00289264 0.26224208 0.2705462  0.11280486 0.16783798
 0.02949471 0.11399986 0.00085947 0.00563121]","[0.0199838  0.00250355 0.5702095  0.15663879 0.05609547 0.09064569
 0.0243166  0.0721433  0.00091562 0.00654772]",bird,cat,1
7333,lenet,"[8.1019016e-07 1.8192852e-05 2.5375772e-03 2.7002092e-03 3.8638876e-03
 5.3341308e-04 9.9033701e-01 5.1085799e-06 1.8420817e-06 1.9451882e-06]","[5.5803182e-05 1.9263879e-04 1.4844995e-02 5.1198703e-01 1.2884916e-02
 2.4835499e-01 2.1063049e-01 8.0502930e-04 9.1555048e-05 1.5250192e-04]",cat,frog,1
8314,lenet,"[7.7094784e-04 3.0890928e-04 6.1915186e-03 3.5582918e-03 1.0521185e-03
 1.1920137e-03 9.8615336e-01 3.6626711e-04 4.4224380e-05 3.6240910e-04]","[0.07244471 0.07931801 0.0711256  0.06975976 0.03722152 0.03565239
 0.51594675 0.02495759 0.04181488 0.05175874]",frog,frog,1
8852,lenet,"[2.5528436e-06 8.4315744e-08 8.4253770e-06 3.7223392e-05 3.4522158e-04
 1.6829900e-03 3.1376848e-07 9.9792212e-01 4.1012264e-08 1.0887906e-06]","[5.4047247e-05 2.2973377e-06 1.4761104e-03 1.9074637e-03 8.1466688e-03
 4.8167653e-02 1.1016825e-05 9.4022524e-01 1.3166594e-06 8.1869230e-06]",horse,horse,1
1514,lenet,"[9.6787429e-01 5.2671689e-03 2.1478501e-03 5.4617319e-04 1.3983246e-03
 3.1986777e-04 8.5326098e-04 1.6368681e-03 5.2354406e-03 1.4720739e-02]","[0.24167584 0.07738546 0.00683657 0.00337396 0.00478849 0.00136811
 0.01115422 0.00596318 0.01427985 0.63317424]",truck,airplane,1
6355,lenet,"[9.8574370e-01 3.7298181e-05 7.7995216e-03 2.7339170e-03 1.4720447e-03
 6.3121680e-04 6.5042172e-05 9.1179897e-04 4.8037342e-04 1.2504238e-04]","[4.3445385e-01 6.7700417e-04 5.2172359e-02 4.3570983e-01 1.7244715e-03
 6.9435291e-02 3.0836504e-04 2.0437264e-03 3.9990013e-04 3.0751075e-03]",cat,airplane,1
3225,lenet,"[5.36555945e-07 5.41786780e-04 1.00869336e-07 7.07022130e-09
 2.28008954e-08 1.84865065e-08 4.01491569e-08 3.30448877e-08
 2.68475787e-06 9.99454677e-01]","[1.2369656e-04 1.9970443e-02 1.1680932e-05 6.0214848e-07 2.4382109e-06
 1.1536926e-06 2.4612320e-06 3.4340962e-06 2.0751423e-04 9.7967654e-01]",truck,truck,1
1882,lenet,"[8.46529729e-05 9.99776781e-01 2.58007979e-08 1.07860707e-07
 4.79234608e-08 3.25270300e-09 2.08237338e-07 1.86134148e-08
 3.31737283e-05 1.04978935e-04]","[6.7650720e-02 9.2624587e-01 2.7341349e-04 4.4430062e-04 4.2090879e-04
 1.4273135e-05 4.7234705e-04 5.9258473e-05 1.6086991e-03 2.8101532e-03]",automobile,automobile,1
5967,lenet,"[1.6332782e-08 3.5957284e-05 3.5460395e-11 1.5046306e-10 1.2389690e-11
 8.0498053e-11 6.2177238e-12 2.5003682e-10 2.3696209e-08 9.9996400e-01]","[1.1321189e-06 1.8991990e-03 2.2682360e-09 7.2901272e-09 1.1781759e-09
 7.6224485e-09 2.0015421e-10 4.4119407e-08 3.0086292e-07 9.9809927e-01]",truck,truck,1
1984,lenet,"[6.9435450e-06 7.1649782e-07 6.8301320e-05 1.9617463e-03 7.9641066e-02
 1.3984995e-02 1.4097234e-05 9.0431416e-01 5.7152135e-07 7.4199334e-06]","[1.5219197e-05 4.5170914e-06 7.9448108e-04 6.9227275e-03 4.9529833e-01
 2.4083117e-02 2.0298340e-04 4.7265348e-01 3.5427545e-06 2.1648135e-05]",deer,horse,1
8584,lenet,"[3.7042559e-03 9.6615726e-01 8.5289743e-05 1.2002138e-04 3.4849209e-04
 4.7756919e-05 3.5657555e-05 1.0666222e-04 4.1929409e-03 2.5201602e-02]","[1.5925998e-02 4.8229131e-01 2.3142817e-04 7.7398028e-05 8.5409492e-04
 1.3977898e-05 1.4481376e-05 9.0904447e-05 1.4264847e-02 4.8623556e-01]",truck,automobile,1
8730,lenet,"[1.5104096e-02 1.5238817e-04 5.7602060e-01 1.4995966e-02 3.9037979e-01
 2.2010545e-03 1.0652662e-03 6.1936160e-05 1.2303077e-05 6.5989798e-06]","[4.0889051e-02 3.7246916e-04 9.4629757e-02 3.7344176e-02 8.1652057e-01
 7.5202957e-03 2.5546618e-03 1.3931401e-04 1.4760853e-05 1.4946974e-05]",deer,bird,1
2279,lenet,"[1.2502469e-03 7.3659413e-02 3.9946518e-04 7.0002925e-04 9.1346924e-04
 2.4899998e-04 6.4519374e-04 8.3004334e-04 4.6425246e-04 9.2088890e-01]","[0.00334114 0.4982811  0.00092569 0.00359959 0.0037412  0.0005832
 0.00224089 0.00212485 0.00207465 0.48308766]",automobile,truck,1
2431,lenet,"[1.16210915e-02 7.50885636e-04 1.49871374e-03 2.06599332e-04
 8.97036400e-04 4.54505098e-05 2.08770204e-03 2.89003801e-05
 9.82703447e-01 1.60196025e-04]","[8.8477534e-01 1.5832460e-02 7.8856489e-03 5.3823320e-04 5.1966449e-03
 3.5168882e-04 1.7546582e-03 3.9615756e-04 8.1478059e-02 1.7910788e-03]",airplane,ship,1
9949,lenet,"[0.13345818 0.00516162 0.07370661 0.44418603 0.00421483 0.03539298
 0.1340943  0.10963064 0.01521539 0.0449394 ]","[0.33385843 0.03928556 0.0637203  0.01750978 0.00375447 0.00487474
 0.01485653 0.04819765 0.04248566 0.43145692]",truck,cat,1
8466,lenet,"[9.7678269e-05 9.5428666e-05 1.7706152e-04 3.7332289e-03 7.7910307e-05
 1.3649549e-02 1.2126176e-04 9.8193192e-01 3.1761899e-06 1.1274095e-04]","[8.4252749e-03 6.8808650e-03 1.6490294e-03 3.3550013e-02 4.8409187e-04
 1.3549136e-01 5.5801141e-04 7.8712827e-01 2.3850663e-04 2.5594594e-02]",horse,horse,1
4921,lenet,"[4.3556731e-02 3.8653181e-04 2.1928331e-02 3.1179079e-01 1.4647173e-03
 5.2766377e-01 3.9595734e-02 4.0399335e-02 2.2237376e-05 1.3191798e-02]","[4.40075770e-02 2.54945271e-03 4.62551415e-03 9.02749971e-02
 7.80204660e-04 2.06912965e-01 4.33410667e-02 9.50224604e-03
 1.01334816e-04 5.97904563e-01]",truck,dog,1
8592,lenet,"[9.7338891e-01 1.0653619e-04 2.0566013e-02 4.1850721e-03 1.3620508e-04
 6.4082886e-04 1.0401510e-04 5.1606126e-04 9.9906021e-05 2.5639508e-04]","[7.7536577e-01 2.1966356e-04 1.9459975e-01 2.1298172e-02 4.7035463e-04
 5.0297058e-03 5.9048197e-04 1.5622553e-03 1.3866843e-04 7.2520203e-04]",airplane,airplane,1
328,lenet,"[6.0785790e-03 1.0970148e-04 4.7113048e-03 1.6930090e-02 9.3835348e-01
 4.7287298e-03 4.9680664e-04 1.6771551e-02 1.0725125e-02 1.0945539e-03]","[0.1332736  0.00307511 0.02386814 0.25958446 0.23098157 0.0328659
 0.01173885 0.01966829 0.2555073  0.02943669]",cat,deer,1
3562,lenet,"[5.4811146e-03 4.4119656e-03 4.6269397e-06 3.0198063e-07 3.9839042e-06
 1.3123378e-07 1.1220845e-05 1.7232835e-06 9.8960620e-01 4.7866846e-04]","[2.4109708e-02 6.8191695e-01 1.2383385e-05 7.8737571e-07 2.2665590e-05
 1.8373034e-07 3.9988092e-05 1.0313536e-05 1.4017549e-01 1.5371156e-01]",automobile,ship,1
2899,lenet,"[3.6902985e-04 3.5156636e-03 3.9218059e-03 4.3871049e-03 1.0714844e-02
 4.1044159e-03 8.0385822e-04 1.3976637e-02 3.8498448e-04 9.5782167e-01]","[8.6658075e-04 5.3632502e-03 1.6089518e-02 2.4499914e-02 3.8567951e-01
 2.8696563e-02 2.4595433e-03 8.7595493e-02 3.6432414e-04 4.4838524e-01]",truck,truck,1
2691,lenet,"[1.32532136e-06 1.88114001e-07 9.84856844e-01 1.18242274e-03
 2.36407202e-03 3.71578790e-04 1.10179195e-02 2.02940239e-04
 4.87503371e-08 2.60627894e-06]","[4.8237985e-06 5.5686019e-06 5.1754552e-01 4.7434572e-02 7.6830998e-02
 2.7711159e-01 4.5510247e-02 3.5448454e-02 1.1263393e-06 1.0708788e-04]",bird,bird,1
9892,lenet,"[4.1130112e-05 1.6994796e-06 7.0615008e-02 2.7573353e-02 1.5911141e-02
 8.5378885e-01 4.9026858e-05 3.1827744e-02 5.6756198e-07 1.9135371e-04]","[5.0373160e-04 1.3090329e-05 5.2558225e-02 1.1465169e-01 1.2048078e-01
 3.4005472e-01 2.2546262e-04 3.7116817e-01 4.7305975e-06 3.3940928e-04]",horse,dog,1
